"0.886"
"class4","p"
"nonevent","0.9123"
"Ia","0.5373"
"nonevent","0.9995"
"Ib","0.5585"
"nonevent","0.8436"
"Ib","0.3949"
"II","0.4906"
"II","0.6009"
"nonevent","0.429"
"Ib","0.4881"
"Ib","0.4988"
"II","0.7362"
"II","0.3969"
"II","0.6555"
"II","0.5352"
"II","0.4986"
"II","0.8061"
"nonevent","0.9828"
"nonevent","0.9925"
"II","0.8631"
"II","0.5737"
"Ib","0.4678"
"II","0.4119"
"nonevent","0.5399"
"Ib","0.5929"
"Ib","0.4816"
"nonevent","0.828"
"nonevent","0.937"
"nonevent","0.3862"
"nonevent","0.9499"
"Ib","0.4607"
"II","0.3886"
"nonevent","0.9919"
"II","0.6671"
"nonevent","0.9998"
"nonevent","0.993"
"nonevent","0.8793"
"Ib","0.4244"
"nonevent","0.93"
"nonevent","0.6013"
"II","0.475"
"nonevent","0.4711"
"nonevent","0.4247"
"nonevent","0.9696"
"nonevent","0.8949"
"II","0.4786"
"nonevent","0.7065"
"Ib","0.4849"
"Ib","0.5148"
"II","0.6521"
"nonevent","0.9936"
"nonevent","0.9997"
"nonevent","0.9944"
"nonevent","0.9393"
"nonevent","0.7219"
"nonevent","0.9983"
"II","0.4579"
"II","0.5476"
"nonevent","0.992"
"II","0.792"
"Ib","0.58"
"nonevent","0.9502"
"II","0.5082"
"nonevent","0.9887"
"nonevent","0.914"
"Ib","0.4873"
"Ib","0.4435"
"Ib","0.5107"
"II","0.4128"
"nonevent","0.994"
"Ia","0.3531"
"nonevent","0.938"
"nonevent","0.5035"
"nonevent","0.5798"
"nonevent","0.9944"
"nonevent","0.9093"
"nonevent","0.9641"
"nonevent","0.8455"
"nonevent","0.9798"
"II","0.3359"
"Ib","0.4351"
"II","0.5249"
"nonevent","0.6338"
"II","0.555"
"II","0.5545"
"II","0.5652"
"II","0.5336"
"II","0.5097"
"II","0.4857"
"nonevent","0.9912"
"nonevent","0.8271"
"nonevent","0.9575"
"II","0.4701"
"II","0.3739"
"nonevent","0.9995"
"II","0.6244"
"nonevent","0.9964"
"II","0.5174"
"nonevent","0.9704"
"nonevent","0.3954"
"nonevent","0.9987"
"nonevent","0.9987"
"nonevent","0.9896"
"II","0.6166"
"II","0.6545"
"Ib","0.5"
"Ib","0.4244"
"Ia","0.4371"
"nonevent","0.9662"
"II","0.7565"
"Ib","0.6723"
"II","0.4249"
"II","0.3532"
"Ib","0.6801"
"Ib","0.5001"
"nonevent","0.9968"
"nonevent","0.96"
"II","0.4779"
"II","0.425"
"nonevent","0.7366"
"II","0.5102"
"Ia","0.4484"
"II","0.4956"
"nonevent","0.3387"
"nonevent","0.9936"
"nonevent","0.9832"
"nonevent","0.9853"
"II","0.4815"
"nonevent","0.9401"
"II","0.4746"
"nonevent","0.9455"
"II","0.5916"
"nonevent","0.981"
"nonevent","0.9247"
"nonevent","0.9578"
"nonevent","0.3916"
"nonevent","0.977"
"II","0.3632"
"II","0.5644"
"II","0.4905"
"Ia","0.3868"
"nonevent","0.9394"
"nonevent","0.9914"
"Ib","0.343"
"Ib","0.6204"
"nonevent","0.9213"
"nonevent","0.9235"
"Ia","0.6426"
"nonevent","0.8016"
"Ib","0.5788"
"nonevent","0.9469"
"nonevent","0.9968"
"nonevent","0.8853"
"Ia","0.5711"
"nonevent","0.9671"
"nonevent","0.9904"
"Ib","0.4569"
"II","0.4788"
"nonevent","0.6355"
"nonevent","0.9884"
"nonevent","0.8205"
"nonevent","0.5068"
"Ib","0.5196"
"Ib","0.6657"
"nonevent","0.8581"
"nonevent","0.6058"
"II","0.5625"
"II","0.4263"
"II","0.461"
"II","0.6512"
"Ia","0.4547"
"nonevent","0.9848"
"nonevent","0.9747"
"II","0.7015"
"II","0.5526"
"II","0.6112"
"nonevent","0.9792"
"Ib","0.6379"
"II","0.6157"
"nonevent","0.6375"
"nonevent","0.9496"
"II","0.4269"
"nonevent","0.9717"
"nonevent","0.9949"
"nonevent","0.9703"
"nonevent","0.8529"
"II","0.5055"
"nonevent","0.851"
"II","0.537"
"nonevent","0.9379"
"nonevent","0.9448"
"nonevent","0.775"
"nonevent","0.9469"
"nonevent","0.9898"
"Ib","0.5749"
"Ib","0.5429"
"II","0.6234"
"nonevent","0.5974"
"II","0.7364"
"nonevent","0.9537"
"Ib","0.6588"
"Ib","0.3476"
"Ib","0.4431"
"nonevent","0.9951"
"Ib","0.6132"
"Ia","0.3671"
"nonevent","0.9747"
"nonevent","0.9956"
"nonevent","0.9999"
"nonevent","0.6063"
"Ib","0.466"
"nonevent","0.9854"
"nonevent","0.9984"
"nonevent","0.9842"
"Ia","0.3773"
"nonevent","1.0"
"Ib","0.3301"
"Ia","0.6854"
"Ib","0.8687"
"nonevent","0.9834"
"nonevent","0.524"
"Ib","0.4244"
"nonevent","0.9629"
"nonevent","0.9801"
"nonevent","0.9804"
"nonevent","0.3192"
"nonevent","0.7892"
"nonevent","0.4319"
"II","0.7228"
"Ib","0.6273"
"nonevent","0.7897"
"II","0.7287"
"nonevent","0.9935"
"nonevent","0.979"
"II","0.6317"
"nonevent","0.9281"
"Ib","0.4331"
"II","0.3776"
"Ia","0.4916"
"nonevent","0.9932"
"nonevent","0.9859"
"II","0.6193"
"II","0.5222"
"nonevent","0.7219"
"nonevent","0.9001"
"nonevent","0.9951"
"II","0.4965"
"II","0.7769"
"II","0.5974"
"nonevent","0.9721"
"II","0.5315"
"II","0.5506"
"II","0.5893"
"Ib","0.5168"
"nonevent","0.8903"
"Ib","0.4826"
"nonevent","0.9987"
"nonevent","0.446"
"nonevent","0.9985"
"Ib","0.4829"
"Ia","0.5342"
"nonevent","0.7265"
"nonevent","0.9971"
"Ib","0.9694"
"II","0.435"
"nonevent","0.9204"
"Ib","0.4747"
"Ia","0.6687"
"II","0.52"
"nonevent","0.5054"
"nonevent","0.8009"
"nonevent","0.9965"
"nonevent","0.9922"
"Ib","0.4986"
"nonevent","0.9881"
"Ib","0.4587"
"nonevent","0.9975"
"Ib","0.479"
"nonevent","0.7842"
"II","0.4935"
"Ib","0.6357"
"II","0.724"
"II","0.5175"
"nonevent","0.9796"
"Ib","0.5101"
"II","0.4007"
"nonevent","0.3858"
"II","0.7155"
"II","0.8729"
"nonevent","0.9816"
"nonevent","0.5223"
"nonevent","0.8208"
"nonevent","0.4639"
"Ib","0.5582"
"nonevent","0.9704"
"nonevent","0.9856"
"II","0.6263"
"nonevent","0.7641"
"nonevent","0.9913"
"Ib","0.5149"
"Ib","0.4596"
"nonevent","0.9881"
"II","0.5286"
"nonevent","0.9561"
"nonevent","0.8899"
"nonevent","0.9959"
"II","0.6532"
"nonevent","0.9989"
"II","0.4936"
"nonevent","0.6638"
"nonevent","0.9823"
"II","0.5854"
"nonevent","0.9785"
"nonevent","0.825"
"II","0.5269"
"nonevent","0.9517"
"nonevent","1.0"
"II","0.7004"
"II","0.4734"
"nonevent","0.9948"
"nonevent","0.9667"
"nonevent","0.7599"
"Ib","0.74"
"nonevent","0.9455"
"nonevent","0.6612"
"nonevent","0.773"
"nonevent","0.9751"
"nonevent","0.9793"
"II","0.6287"
"II","0.5306"
"II","0.5139"
"nonevent","0.8782"
"nonevent","0.9417"
"nonevent","0.8654"
"nonevent","0.9965"
"nonevent","0.8039"
"Ib","0.5852"
"nonevent","0.8726"
"nonevent","0.926"
"Ib","0.5014"
"nonevent","0.9768"
"II","0.4531"
"nonevent","0.9616"
"nonevent","0.9949"
"nonevent","0.6954"
"nonevent","0.9937"
"Ib","0.7623"
"nonevent","0.6627"
"nonevent","0.9934"
"nonevent","0.6959"
"II","0.666"
"nonevent","0.8264"
"nonevent","0.9942"
"nonevent","0.9408"
"II","0.4535"
"Ib","0.4287"
"II","0.6281"
"nonevent","0.9256"
"nonevent","0.9618"
"nonevent","0.8916"
"nonevent","0.3707"
"II","0.513"
"nonevent","0.9253"
"II","0.8548"
"II","0.4901"
"Ib","0.4851"
"Ib","0.3427"
"II","0.8176"
"II","0.5867"
"nonevent","0.9559"
"nonevent","0.9563"
"II","0.4751"
"II","0.8286"
"nonevent","0.7849"
"nonevent","0.9995"
"nonevent","0.8067"
"nonevent","0.9999"
"II","0.767"
"nonevent","0.9734"
"Ib","0.4666"
"Ib","0.4357"
"Ib","0.6919"
"nonevent","0.7089"
"II","0.377"
"Ib","0.4791"
"nonevent","0.9981"
"nonevent","0.8835"
"II","0.769"
"nonevent","0.9949"
"nonevent","0.8309"
"nonevent","0.997"
"nonevent","0.7879"
"nonevent","0.9634"
"II","0.4601"
"nonevent","0.8047"
"Ib","0.4135"
"nonevent","0.9619"
"Ib","0.4925"
"nonevent","0.9859"
"II","0.6905"
"nonevent","0.9507"
"nonevent","0.9221"
"Ia","0.6337"
"nonevent","0.9961"
"II","0.4102"
"nonevent","0.747"
"II","0.49"
"nonevent","0.8317"
"nonevent","0.5379"
"nonevent","0.8792"
"nonevent","0.6612"
"nonevent","0.967"
"nonevent","0.9585"
"nonevent","0.9504"
"nonevent","0.9979"
"Ib","0.7933"
"nonevent","0.9861"
"nonevent","0.4267"
"Ib","0.4488"
"nonevent","0.6178"
"Ib","0.4647"
"nonevent","0.7755"
"II","0.6471"
"nonevent","0.5228"
"nonevent","0.9978"
"nonevent","0.7729"
"Ib","0.532"
"nonevent","0.9934"
"nonevent","0.9118"
"nonevent","0.9997"
"nonevent","0.9759"
"nonevent","0.6763"
"Ia","0.7099"
"Ib","0.4942"
"nonevent","0.9773"
"nonevent","0.6855"
"Ib","0.4708"
"nonevent","0.9948"
"nonevent","0.9054"
"Ia","0.4219"
"II","0.5345"
"nonevent","0.9119"
"Ib","0.6005"
"nonevent","0.6846"
"II","0.5437"
"Ia","0.3389"
"II","0.6032"
"nonevent","0.9988"
"II","0.4395"
"nonevent","0.6666"
"nonevent","0.9999"
"nonevent","0.7472"
"II","0.6327"
"II","0.5425"
"II","0.5984"
"nonevent","0.9733"
"nonevent","0.889"
"nonevent","0.3291"
"nonevent","0.9681"
"II","0.4523"
"nonevent","0.906"
"II","0.4461"
"nonevent","0.807"
"II","0.6534"
"II","0.749"
"II","0.6772"
"nonevent","0.5181"
"nonevent","0.9198"
"nonevent","0.9722"
"nonevent","0.8583"
"II","0.5687"
"Ib","0.396"
"Ib","0.5602"
"nonevent","0.9125"
"nonevent","0.8375"
"nonevent","0.9874"
"nonevent","0.8699"
"nonevent","1.0"
"nonevent","0.9174"
"nonevent","0.9608"
"II","0.5829"
"Ib","0.3835"
"Ib","0.4855"
"nonevent","0.9974"
"II","0.7518"
"Ia","0.4532"
"nonevent","0.9999"
"II","0.5156"
"Ib","0.5632"
"nonevent","0.9923"
"nonevent","0.7602"
"nonevent","0.9941"
"nonevent","0.9945"
"nonevent","0.982"
"II","0.4325"
"nonevent","0.9787"
"II","0.443"
"nonevent","0.4974"
"II","0.4849"
"nonevent","0.675"
"nonevent","0.9962"
"Ib","0.5139"
"nonevent","0.9974"
"II","0.4732"
"II","0.7281"
"II","0.4455"
"II","0.4259"
"nonevent","0.9089"
"nonevent","0.9691"
"II","0.5125"
"Ib","0.4439"
"Ib","0.4867"
"nonevent","0.9068"
"nonevent","0.4637"
"II","0.5841"
"nonevent","0.8681"
"II","0.4204"
"II","0.4154"
"nonevent","0.9287"
"nonevent","0.9975"
"nonevent","0.471"
"nonevent","0.9806"
"II","0.4286"
"nonevent","0.9865"
"nonevent","0.5687"
"nonevent","0.8313"
"nonevent","0.9275"
"II","0.4524"
"Ia","0.5027"
"nonevent","0.9872"
"Ib","0.663"
"nonevent","0.9686"
"Ib","0.5318"
"nonevent","0.5496"
"nonevent","0.5167"
"nonevent","0.9704"
"nonevent","0.9701"
"Ib","0.4689"
"nonevent","0.9644"
"nonevent","0.9992"
"nonevent","0.9941"
"Ib","0.6768"
"nonevent","0.9331"
"II","0.5673"
"nonevent","0.9463"
"nonevent","0.9899"
"Ib","0.4901"
"Ib","0.492"
"nonevent","0.8859"
"Ib","0.5575"
"nonevent","0.9741"
"nonevent","0.984"
"nonevent","0.7716"
"nonevent","0.7972"
"Ia","0.6762"
"II","0.6801"
"nonevent","0.9999"
"II","0.5154"
"II","0.7426"
"nonevent","0.9995"
"nonevent","0.9856"
"nonevent","0.5523"
"nonevent","0.9999"
"nonevent","0.3644"
"nonevent","0.6901"
"nonevent","0.7975"
"II","0.5274"
"II","0.8116"
"nonevent","0.8762"
"nonevent","0.7527"
"Ib","0.6455"
"II","0.6432"
"nonevent","0.9551"
"nonevent","0.9993"
"II","0.5273"
"II","0.478"
"nonevent","0.8693"
"nonevent","0.8471"
"II","0.7548"
"Ib","0.4621"
"Ib","0.6026"
"II","0.4371"
"nonevent","0.9962"
"nonevent","0.8989"
"nonevent","0.7605"
"Ia","0.4964"
"nonevent","1.0"
"nonevent","0.9497"
"nonevent","0.9885"
"II","0.7943"
"nonevent","0.6137"
"nonevent","1.0"
"nonevent","0.5797"
"nonevent","0.9556"
"nonevent","0.6116"
"Ib","0.4165"
"nonevent","0.9779"
"nonevent","0.7055"
"Ia","0.5641"
"nonevent","0.995"
"nonevent","0.9949"
"II","0.3574"
"nonevent","0.9632"
"Ib","0.7128"
"Ib","0.3645"
"nonevent","0.8914"
"II","0.3434"
"nonevent","0.5986"
"nonevent","0.9728"
"II","0.3852"
"Ib","0.547"
"II","0.5989"
"nonevent","0.9899"
"nonevent","0.9921"
"nonevent","0.8689"
"Ib","0.4498"
"nonevent","0.5039"
"Ib","0.4091"
"nonevent","0.8813"
"Ib","0.619"
"nonevent","0.9998"
"nonevent","0.9943"
"II","0.4954"
"Ia","0.5323"
"Ib","0.5159"
"nonevent","0.8864"
"nonevent","0.9877"
"nonevent","0.9995"
"nonevent","0.9902"
"II","0.3808"
"Ia","0.7033"
"nonevent","0.9949"
"nonevent","0.9833"
"nonevent","0.9802"
"nonevent","0.7017"
"nonevent","0.9991"
"nonevent","0.9081"
"nonevent","0.8413"
"II","0.5394"
"II","0.7049"
"Ib","0.464"
"nonevent","0.9126"
"II","0.4219"
"nonevent","0.53"
"Ia","0.4469"
"nonevent","0.8299"
"II","0.4875"
"II","0.6497"
"Ib","0.5331"
"Ib","0.5028"
"nonevent","0.9964"
"Ib","0.6374"
"Ib","0.586"
"nonevent","0.9937"
"nonevent","0.9999"
"nonevent","0.9575"
"II","0.5535"
"nonevent","0.8417"
"Ib","0.517"
"Ib","0.5012"
"Ia","0.6043"
"nonevent","0.8078"
"nonevent","0.9986"
"nonevent","0.9985"
"nonevent","0.4527"
"Ib","0.4022"
"nonevent","0.7472"
"nonevent","0.9919"
"II","0.8442"
"nonevent","0.4803"
"nonevent","0.9884"
"II","0.5535"
"nonevent","0.8755"
"II","0.5504"
"nonevent","0.8461"
"Ib","0.4957"
"nonevent","0.9073"
"Ib","0.3894"
"Ia","0.5376"
"Ib","0.5376"
"nonevent","0.9831"
"Ib","0.5696"
"nonevent","0.7444"
"Ib","0.5823"
"Ib","0.7189"
"nonevent","0.7202"
